Karix Template Whitelisting Automation Platform — Operational Reference,,,,
Live Web App: https://whitelisting-agent.onrender.com | Audience: Management & Business Analysts | Version: 2.0 Production,,,,
1. ACCOUNT & CHANNEL MATRIX,,,,
Account,Channel,Karix Engine / Bot ID,Authentication Model,Primary Use Cases
Bajaj,WhatsApp,Official WhatsApp REST API (WABA: 286109054585247),Static API Key (WABA_AUTH_TOKEN) — Permanent,"Marketing, EMI alerts, transactional notifications"
Bajaj,RCS (DLT),Karix Bot Builder (Bot: af2vdbyFh3RX8eee),Bearer Token / Session Cookie,"Rich cards, interactive carousels, quick replies"
Tata Capital,WhatsApp,Official WhatsApp REST API (Tata WABA ID),Static API Key (TATA_WABA_AUTH_TOKEN),"Pre-approved loan alerts, customer servicing"
Tata Capital,RCS (DLT),Karix Bot Builder (Bot: Uv9tdd0KNADbq3pX),Bearer Token (ESME: 72516600000000),"PAPL multi-card carousels, action links, dialers"
2. WHAT THE AGENT CAN DO (CORE CAPABILITIES),,,,
Feature Category,Specific Capability,WhatsApp Support,RCS Support,Business Value / Benefit
Raw Brief Ingestion,"Ingests single unformatted cells containing copy, CTA, & T&Cs (e.g. Book4.xlsx)",YES (auto-splits cards),YES (auto-splits cards),Saves 100% manual copy/pasting from marketing briefs
Image Processing,Extracts embedded pasted images from .xlsx without downloading files or copying URLs,YES (auto-binds to header),YES (auto-binds to cards),Zero manual image hosting or URL management
Aspect Ratio Fitting,Automatically fits images to exact 16:9 (Carousel) or 2:1 (Rich Card) ratios in-memory,YES (auto-ratio),YES (auto-16:9 fit),Eliminates 'Invalid Aspect Ratio' rejection errors
Variable Normalization,"Converts <name>, <amt>, [var], {#var#} into standardized platform placeholders","YES (converts to {{1}}, {{2}})","YES (converts to [1], [2])",Eliminates variable syntax rejection errors
Sample Generation,"Auto-generates realistic review samples (e.g. John Doe, 5,00,000) for Meta review",YES (auto-generated),N/A (RCS doesn't require),Prevents Meta review rejections for missing samples
Sequential Variables,Strictly numbers variables across all carousel cards & action URLs in sequence,YES (per template),YES ([1]...[10] global),Complies 100% with Karix Bot Builder schema
Dynamic CTA Routing,Infers Tata Capital product URLs and appends dynamic variables to action links,YES (e.g. /{{1}}),YES (e.g. [N]),Allows unique click tracking per user/campaign
Multi-Card Carousels,"Supports 2 to 10 sliding cards with titles, descriptions, images, & action links",N/A (WhatsApp text/media),YES (Full Carousel support),"Delivers rich, high-converting interactive RCS messages"
Live Real-Time Sync,Queries live Karix servers to show real-time template statuses & approval logs,"YES (1,300+ live synced)",YES (live Bot query),Complete visibility of all templates across team
Multi-Account Switch,Instant toggle between Bajaj and Tata Capital in the navigation dropdown,YES (Isolated WABAs),YES (Isolated Bots),No mixing of credentials or campaign logs
"3. PLATFORM LIMITATIONS, CONSTRAINTS & WORKAROUNDS",,,,
Limitation / Constraint,Enforcing Platform,Root Cause,Agent Automated Handling,User Best Practice
Max 25 Chars for RCS Template Name,Karix Bot Builder,Backend DB column length limit in Karix engine,Agent auto-sanitizes & truncates names to 25 chars,Keep names concise (e.g. tata_papl_festive_01)
No Images Inside Plain .CSV Files,File Format Spec,CSV format is text-only; strips drawings on export,Agent parses text; requires image URLs if CSV used,Always upload as Excel (.xlsx) when images are pasted
Karix Portal Session Expiry (RCS),Karix Lounge,PHP portal session timeout after 8–24 hours of inactivity,Agent gives clear 401 error with refresh instructions,Update session token in /settings when expired (WhatsApp static keys never expire)
Asynchronous Meta Review Time,Meta / WhatsApp,Human & automated Meta policy review takes 5m to 24h,Dashboard provides 'Poll Pending' and 30s auto-refresh,Click 'Poll Pending' once or twice daily to sync approvals
RCS Image File Size Cap (2 MB),Telecom Carriers,Carrier network bandwidth limits for RCS payloads,Agent warns if payload exceeds size limit,Ensure embedded photos in Excel are under 2 MB each
Duplicate Template Names,Karix & Meta,Cannot overwrite an existing template name,Agent detects duplicate status and marks in log,Append version suffix (e.g. _v2) when resubmitting edited copy
